elePt_low,elePt_high,eleEta,ymass_upper,Efficiency,Background,FOM
5,5,2.0,10.0,16.57,52,2.297845562863012
5,8,2.0,10.0,16.38,46,2.415099241817215
5,10,2.0,10.0,15.8,39,2.530024830120377
5,12,2.0,10.0,14.82,27,2.8521103297967514
5,5,2.5,10.0,17.68,60,2.282478185364904
5,8,2.5,10.0,17.46,51,2.444889026712905
5,10,2.5,10.0,16.79,42,2.590753245863523
5,12,2.5,10.0,15.66,28,2.959461823662249
5,5,1.8,10.0,15.8,49,2.257142857142857
5,8,1.8,10.0,15.62,44,2.3548036011523337
5,10,1.8,10.0,15.08,37,2.479136728564788
5,12,1.8,10.0,14.18,25,2.836
5,5,2.0,11.4,16.99,89,1.8009363981308055
5,8,2.0,11.4,16.8,75,1.9398969044771424
5,10,2.0,11.4,16.21,64,2.02625
5,12,2.0,11.4,15.19,49,2.17
5,5,2.5,11.4,18.21,101,1.8119627233723903
5,8,2.5,11.4,17.98,82,1.9855588388257408
5,10,2.5,11.4,17.28,69,2.080267541322092
5,12,2.5,11.4,16.1,52,2.2326682898065475
5,5,1.8,11.4,16.17,83,1.774888084033293
5,8,1.8,11.4,15.99,71,1.8976638714519714
5,10,1.8,11.4,15.44,61,1.9768894261639138
5,12,1.8,11.4,14.51,46,2.1393827838075574
5,5,2.0,10.6,16.92,68,2.051851387807377
5,8,2.0,10.6,16.73,60,2.159833712735003
5,10,2.0,10.6,16.14,52,2.2382152917687996
5,12,2.0,10.6,15.12,39,2.4211376855329174
5,5,2.5,10.6,18.13,76,2.079653627536642
5,8,2.5,10.6,17.9,65,2.2202217491468312
5,10,2.5,10.6,17.2,55,2.3192475268735526
5,12,2.5,10.6,16.02,40,2.532984405794872
5,5,1.8,10.6,16.1,64,2.0125
5,8,1.8,10.6,15.92,57,2.10865551244755
5,10,1.8,10.6,15.37,49,2.1957142857142857
5,12,1.8,10.6,14.44,36,2.4066666666666667
6,5,2.0,10.0,14.67,37,2.4117331437695917
6,8,2.0,10.0,14.58,36,2.43
6,10,2.0,10.0,14.15,33,2.4631988317731244
6,12,2.0,10.0,13.3,25,2.66
6,5,2.5,10.0,15.59,39,2.4963979178213083
6,8,2.5,10.0,15.48,38,2.5111875991042045
6,10,2.5,10.0,14.97,34,2.5673338195833573
6,12,2.5,10.0,13.99,25,2.798
6,5,1.8,10.0,13.96,36,2.3266666666666667
6,8,1.8,10.0,13.88,35,2.346148211126362
6,10,1.8,10.0,13.48,32,2.382949852598665
6,12,1.8,10.0,12.7,24,2.59237664444553
6,5,2.0,11.4,15.04,57,1.9920966650258258
6,8,2.0,11.4,14.95,55,2.0158575887650936
6,10,2.0,11.4,14.52,50,2.053438092565734
6,12,2.0,11.4,13.63,40,2.1550922254047506
6,5,2.5,11.4,16.05,61,2.0549919229229805
6,8,2.5,11.4,15.94,58,2.0930245397839773
6,10,2.5,11.4,15.41,52,2.1369825059576955
6,12,2.5,11.4,14.38,41,2.2457786959581556
6,5,1.8,11.4,14.28,54,1.9432618626079878
6,8,1.8,11.4,14.2,52,1.9691856965995633
6,10,1.8,11.4,13.8,48,1.9918584287042091
6,12,1.8,11.4,12.99,38,2.1072562604886054
6,5,2.0,10.6,14.98,46,2.208680503200359
6,8,2.0,10.6,14.89,45,2.219670145664791
6,10,2.0,10.6,14.46,42,2.231226440451849
6,12,2.0,10.6,13.57,33,2.3622337913188196
6,5,2.5,10.6,15.98,48,2.306514325412555
6,8,2.5,10.6,15.87,47,2.3148774150715865
6,10,2.5,10.6,15.34,43,2.3393280689021556
6,12,2.5,10.6,14.31,33,2.491051256726036
6,5,1.8,10.6,14.22,44,2.1437456599478995
6,8,1.8,10.6,14.14,43,2.15632978450303
6,10,1.8,10.6,13.74,40,2.1724847525356763
6,12,1.8,10.6,12.93,31,2.3222965552061994
7,5,2.0,10.0,12.8,27,2.463361148542403
7,8,2.0,10.0,12.78,27,2.4595121467478056
7,10,2.0,10.0,12.47,24,2.5454280910421865
7,12,2.0,10.0,11.82,20,2.643032349404751
7,5,2.5,10.0,13.59,29,2.5235996458261347
7,8,2.5,10.0,13.57,29,2.519885739062594
7,10,2.5,10.0,13.19,25,2.638
7,12,2.5,10.0,12.44,20,2.7816685640097383
7,5,1.8,10.0,12.22,26,2.3965391713886093
7,8,1.8,10.0,12.2,26,2.392616848685845
7,10,1.8,10.0,11.91,23,2.4834066714197607
7,12,1.8,10.0,11.3,19,2.592397792737348
7,5,2.0,11.4,13.13,42,2.026002985002267
7,8,2.0,11.4,13.11,41,2.0474380183596255
7,10,2.0,11.4,12.8,37,2.1043070375085735
7,12,2.0,11.4,12.12,32,2.1425335469952387
7,5,2.5,11.4,13.99,45,2.0855060670148036
7,8,2.5,11.4,13.97,44,2.106056741875679
7,10,2.5,11.4,13.58,39,2.1745403286730833
7,12,2.5,11.4,12.79,33,2.2264532196733753
7,5,1.8,11.4,12.51,40,1.9780046764353212
7,8,1.8,11.4,12.49,39,2.0000006410255384
7,10,1.8,11.4,12.2,35,2.06217638153758
7,12,1.8,11.4,11.57,30,2.112383330111591
7,5,2.0,10.6,13.07,33,2.275194963340971
7,8,2.0,10.6,13.05,33,2.271713410221857
7,10,2.0,10.6,12.74,30,2.3259951275386053
7,12,2.0,10.6,12.06,25,2.412
7,5,2.5,10.6,13.92,35,2.3529094451641903
7,8,2.5,10.6,13.9,35,2.349528828145276
7,10,2.5,10.6,13.51,31,2.426467630381729
7,12,2.5,10.6,12.72,25,2.544
7,5,1.8,10.6,12.45,31,2.2360860102333477
7,8,1.8,10.6,12.43,31,2.232493904192812
7,10,1.8,10.6,12.14,28,2.294244351166009
7,12,1.8,10.6,11.51,23,2.4000009057969307
